Ai_bots_worldwide timestamps,Ai_bots_worldwide values
2026-08-17T00:00:00Z,0.831112
2026-08-18T00:00:00Z,0.773814
2026-08-19T00:00:00Z,0.807886
2026-08-20T00:00:00Z,0.814799
2026-08-21T00:00:00Z,0.837172
2026-08-22T00:00:00Z,0.835046
2026-08-23T00:00:00Z,0.810541
2026-08-24T00:00:00Z,0.731332
2026-08-25T00:00:00Z,0.661941
2026-08-26T00:00:00Z,0.663981
2026-08-27T00:00:00Z,0.688499
2026-08-28T00:00:00Z,0.756927
2026-08-29T00:00:00Z,0.77514
2026-08-30T00:00:00Z,0.760506
2026-08-31T00:00:00Z,0.663555
